service_slug,unit,low,median,high,source_urls,source_types,confidence,seasonal_note,checked_date
damper-top-sealing,flat-job,250,550,900,https://chimneysweeps.com/chimney-damper-replacement-cost/ ; https://archerchimneys.com/chimney-cap-cost/ ; https://www.adamchimneysweep.com/chimney-fireplace-pricing/ ; https://www.angi.com/articles/chimney-damper-replacement-cost.htm,guide ; company ; company ; guide,high,"P2-hardened: top-of-flue cap/damper (Lock-Top/Lyemance class). Archer posts $250-$600 installed; ChimneySweeps $500-$900 installed total. No source names the brand w/ a price, but category matches across 2 companies. Excludes parts-only ($250-$500).",2026-07-06
crown-repair,flat-job,150,700,2300,https://www.angi.com/articles/how-much-chimney-crown-repair-cost.htm ; https://homeguide.com/costs/cost-to-repair-replace-chimney-crown ; https://brownchimney.com/chimney-crown-repair-or-rebuild-cost,guide ; guide ; company,high,"Wide by scope: minor patch $150-$700, resurfacing $800-$1,200, crack repair $350-$2,300. Company prices by footprint formula.",2026-07-06
crown-rebuild,flat-job,1000,1900,3000,https://www.angi.com/articles/how-much-chimney-crown-repair-cost.htm ; https://homeguide.com/costs/cost-to-repair-replace-chimney-crown ; https://brownchimney.com/chimney-crown-repair-or-rebuild-cost ; https://homeguide.com/costs/chimney-rebuild-cost,guide ; guide ; company ; guide,high,"Full removal + recast. Guides converge $1,000-$3,000; company formula flags large/multi-flue crowns to supervisor quote. Winter curing affects scheduling.",2026-07-06
tuckpointing,per-sq-ft,8,15,30,https://homeguide.com/costs/repointing-or-tuckpointing-cost ; https://www.angi.com/articles/how-much-tuckpointing-cost.htm ; https://northshorebrickwork.com/masonry/what-does-tuckpointing-cost-in-milwaukee/,guide ; guide ; company,high,"UNIT = per sq ft (chimney-specific, > wall tuckpointing). Whole-chimney job typically $500-$2,500 (avg ~$1,200); 2-story/complex $5,000-$7,000. Do NOT average per-sqft against job totals. '$20-$50 per row' is an incompatible alt unit.",2026-07-06
chimney-rebuild-above-roofline,quote-only,1000,2250,3500,https://homeguide.com/costs/chimney-rebuild-cost ; https://www.angi.com/articles/what-should-it-cost-replace-and-rebuild-masonry-chimney.htm ; https://www.thisoldhouse.com/heating-cooling/chimney-repair-cost,guide ; guide ; guide,high,"PROJECT TOTAL for re-bricking the stack above the roofline. Alt unit $100-$300/linear ft. Partial (top few ft) $600-$1,000; tall/2-story >$5,000. No company publishes a fixed number - on-site quoted (3 independent guides support the band).",2026-07-06
firebox-rebuild,quote-only,900,1700,2500,https://www.angi.com/articles/cost-replace-firebox-inside-fireplace.htm ; https://www.fixr.com/costs/fireplace-repair ; https://prattschimney.com/firebox-repair-rebuild ; https://ahillcstl.com/chimney-repair-cost-guide/ ; https://www.adamchimneysweep.com/chimney-fireplace-pricing/,guide ; guide ; company ; company ; company,quote-only-confirmed,"P2: Pratt's confirms inspect-then-quote (no price); others publish only 'repair' ranges topping $1,000-$2,500, not full masonry rebuild. Full brick/stone rebuilds can exceed $2,500 - no company commits to a rebuild ceiling in writing.",2026-07-06
liner-stainless-install,flat-job,1500,2500,5000,https://www.homeadvisor.com/cost/heating-and-cooling/install-chimney-liner/ ; https://homeguide.com/costs/chimney-liner-cost ; https://www.fixr.com/costs/chimney-liner-installation ; https://chimneysweep.com/cost-to-install-a-chimney-liner/,guide ; guide ; guide ; company,high,"INSTALLED JOB TOTAL (normalization). Alt: materials $20-$90/linear ft; installed ~$100-$200/ft; one company $250-$350/ft (outlier, excluded). 1-story ~$2,500, 2-story ~$5,000.",2026-07-06
liner-cast-in-place,quote-only,2000,4500,8500,https://homeguide.com/costs/chimney-liner-cost ; https://www.fixr.com/costs/chimney-liner-installation ; https://www.ondutychimney.com/chimney-liner-cost/ ; https://www.chimneysaversolutions.com/heatshield-chimney-lining/ ; https://www.chimneysolutions.com/heatshield-chimney-relining/,guide ; guide ; company ; company ; company,quote-only-confirmed,"P2: every company either offers free on-site estimates (no price) or gives only a HeatShield ceramic-resurfacing figure ($3,000-$4,000+, a DIFFERENT product from a true GoldenFlue/SupaFlu pour). On Duty posts $3,000-$8,500 whole-liner-category. Band widened to $2,000-$8,500.",2026-07-06
flashing-repair,flat-job,300,600,1600,https://www.angi.com/articles/how-much-should-it-cost-replace-flashing-around-chimney.htm ; https://homeguide.com/costs/chimney-flashing-repair-cost ; https://www.chimneysweepworcester.com/chimney-flashing-worcester-ma,guide ; guide ; company,high,"Full step/counter flashing replacement $400-$1,600; simple resealing $150-$300 (context, not median). Contractors busiest late summer/fall.",2026-07-06
waterproofing-application,flat-job,150,300,650,https://homeguide.com/costs/cost-to-seal-or-waterproof-a-chimney ; https://www.angi.com/articles/how-much-it-get-my-chimney-sealed-and-capped.htm ; https://mastersservices.com/chimney-waterproofing-company/,guide ; guide ; company,high,Professional application of vapor-permeable sealant (ChimneySaver type). All 3 converge $150-$650. DIY sealant ~$35-$90/gal (~100 sq ft).,2026-07-06
dryer-vent-cleaning,flat-job,100,150,250,https://www.fixr.com/costs/dryer-vent-cleaning ; https://homeguide.com/costs/dryer-vent-cleaning-cost ; https://www.angi.com/articles/how-much-does-dryer-vent-cleaning-cost.htm ; https://www.firemandryerman.com/pricing,guide ; guide ; guide ; company,high,"Roof vents run higher ($150-$250). Excludes add-ons (bird-nest, vent replacement). Angi/HomeAdvisor same parent - counted once.",2026-07-06
animal-removal,flat-job,400,700,1500,https://homeguide.com/costs/animal-and-wildlife-removal-costs ; https://www.angi.com/articles/raccoon-removal-cost.htm ; https://fullservicechimney.com/raccoons-in-chimneys-and-fireplaces/ ; https://mibatcontrol.com/wildlife-control-pricing/,guide ; guide ; company ; company,medium,"P2: floor raised $300->$400 on new tiered wildlife-control pricing (Good $400-$800 / Better $800-$1,200 / Best $1,200+). Chimney-specific removal bundles trapping + exclusion cap + sealing. Watch '$99 special' inspection-fee teasers. Chimney swifts federally protected.",2026-07-06
gas-fireplace-annual-service,flat-job,125,175,249,https://www.angi.com/articles/gas-fireplace-inspection-cost.htm ; https://homeguide.com/costs/fireplace-inspection-cost ; https://firestartersfireplace.com/pricing ; https://seattlechimneypros.com/blog/gas-fireplace-repair-cost-seattle ; https://gasfireplacedoctors.com/gas-fireplace-repair-pricing/,guide ; guide ; company ; company ; company,high,"P2-hardened medium->high: 3 geographically diverse companies (MI/WA/CO) converge $150-$250 (Fire Starters $175, Seattle $129-249, Denver $195). Fire Starters posts $150 off-season (May-Aug) vs $175 in-season - a real seasonal delta (see SEASONAL-PREMIUMS).",2026-07-06
pellet-stove-cleaning,flat-job,125,200,350,https://www.homeadvisor.com/cost/heating-and-cooling/repair-pellet-stove/ ; https://www.fixr.com/costs/pellet-stove-installation ; https://www.thesootslayer.com/prices/ ; https://edwardshearth.com/pellet-stove-cleaning-why-you-shouldnt-wait-for-fall/,guide ; guide ; company ; company,high,P2-hardened medium->high: WA (Soot Slayer $179-$219) + VA (Edwards $230-$245) companies converge with guides. Edwards posts a spring/summer promo ($245->$230) - fall-rush signal (see SEASONAL-PREMIUMS).,2026-07-06
wood-stove-install,flat-job,1500,3000,4500,https://www.angi.com/articles/wood-burning-stove-installation-cost.htm ; https://homeguide.com/costs/wood-stove-installation-cost ; https://burlingtonfireplace.com/estimated-pricing-range/,guide ; guide ; company,medium,"P2: stale Canadian source replaced by Burlington Fireplace (WI) US company. Installed project total incl. stove+venting+hearth. Guides $1,500-$4,500 (most ~$3,000); Burlington posts $4,000-$7,000 all-in for larger jobs (widens top). Labor-only far less ($250-$800). Fall/winter peak.",2026-07-06
insert-install,quote-only,2000,4000,8000,https://www.angi.com/articles/fireplace-insert-cost.htm ; https://homeguide.com/costs/gas-fireplace-insert-cost ; https://www.fixr.com/costs/gas-fireplace ; https://fireplaceexperts.com/wood-fireplace-installation-cost/ ; https://brownchimney.com/fireplace-installation-cost,guide ; guide ; guide ; company ; company,low,"P2: stays low - prices split sharply between labor-only (~$500-$5,000) and fully-installed unit+labor packages (Brown Chimney posts wood insert $11,995 / gas $12,995 all-in). Fuel-type dependent. RECOMMEND schema split (labor-only vs unit-included) so numbers aren't conflated.",2026-07-06
smoke-test,quote-only,insufficient-data,insufficient-data,insufficient-data,https://www.metrogroupinc.com/chimney-services/smoke-tests/ ; https://www.chicagolandfireplacechimney.com/services/smoke-test-inspection ; https://loucurley.com/what-is-a-chimney-smoke-test-and-how-can-it-help-you/,company ; company ; company,insufficient-data,No US company or cost guide publishes a standalone price. Uniformly 'request a quote' or folded into a $85-$400 inspection visit. Not forced.,2026-07-06
